0 281
10000 415
20000 116
30000 3
40000 144
50000 1242
60000 1730
70000 1608
80000 1553
90000 641
100000 2
120000 2
130000 1
150000 1
160000 3
170000 3
180000 2
190000 2
200000 3
220000 1
240000 1
270000 3
280000 7
290000 42
300000 2
310000 1
320000 4
340000 2
350000 3
360000 2
370000 1
380000 4
390000 2
400000 2
410000 3
430000 1
460000 4
490000 1
510000 4
550000 1
580000 2
610000 3
620000 2
630000 2
640000 2
650000 2
660000 4
670000 3
680000 1
690000 2
700000 1
710000 1
720000 1
730000 1
760000 1
770000 3
780000 3
790000 2
800000 1
810000 1
820000 2
830000 68
840000 3
850000 3
870000 4
880000 2
890000 3
900000 1
930000 2
940000 1
960000 2
1000000 1
1010000 2
1020000 1
1030000 1
1040000 1
1050000 2
1060000 1
1090000 5
1100000 258
1110000 577
1120000 364
1130000 37
1140000 5
1150000 3
1190000 1
1200000 5
1220000 7
1250000 4
1260000 1
1270000 1
1290000 3
1300000 1
1320000 1
1350000 1
1370000 2
1380000 1
1390000 1
1410000 1
1420000 2
1430000 1
1460000 2
1470000 1
1500000 2
1520000 1
1530000 3
1550000 2
1560000 1
1570000 1
1580000 1
1590000 2
1610000 1
1620000 1
1630000 2
1660000 1
1670000 1
1680000 2
1690000 2
1710000 2
1750000 1
1760000 5
1780000 6
1790000 3
1810000 2
1820000 1
1830000 2
1850000 1
1860000 2
1870000 1
1880000 2
1890000 1
1900000 2
1930000 3
1940000 2
1950000 2
1960000 19
2000000 1
2020000 2
2030000 2
2040000 1
2050000 2
2060000 1
2070000 1
2080000 14
2090000 2
2100000 1
2120000 3
2140000 2
2150000 1
2160000 1
2170000 1
2190000 1
2200000 3
2210000 2
2220000 3
2230000 2
2270000 1
2280000 2
2290000 2
2300000 1
2310000 3
2330000 90
2340000 204
2350000 2
2360000 1
2370000 3
2390000 1
2420000 3
2430000 1
2440000 2
2460000 1
2470000 1
2480000 2
2500000 3
2510000 3
2530000 2
2550000 7
2560000 2
2570000 3
2580000 2
2590000 3
2610000 3
2620000 40
2630000 2
2650000 2
2660000 1
2670000 2
2690000 3
2710000 1
2720000 2
2730000 2
2740000 5
2750000 343
2760000 796
2770000 246
2790000 11
2810000 1
2830000 1
2840000 1
2850000 230
2880000 3
2890000 3
2910000 3
2920000 4
2940000 3
2960000 2
2970000 1
2990000 1
3000000 2
3010000 1
3050000 6
3060000 2
3070000 177
3080000 3
3090000 168
3100000 2
3110000 2
3120000 1
3130000 1
3140000 1
3180000 3
3190000 2
3210000 1
3220000 3
3230000 1
3240000 4
3250000 1
3260000 1
3270000 2
3280000 2
3290000 1
3300000 2
3310000 1
3320000 3
3330000 4
3340000 1
3350000 2
3360000 2
3370000 2
3380000 1
3390000 2
3400000 1
3410000 2
3420000 2
3430000 2
3440000 1
3470000 1
3490000 1
3500000 2
3510000 30
3520000 71
3530000 1
3550000 1
3560000 9
3570000 21
3590000 1
3600000 2
3610000 2
3620000 2
3640000 2
3670000 3
3680000 4
3690000 3
3700000 1
3710000 3
3720000 1
3730000 1
3740000 2
3750000 1
3760000 1
3770000 1
3790000 1
3800000 1
3820000 2
3840000 1
3850000 1
3860000 2
3870000 1
3900000 4
3930000 2
3960000 2
3970000 1
3990000 1
4000000 1
4010000 35
4030000 1
4040000 1
4060000 2
4090000 1
4100000 13
4130000 1
4160000 2
4170000 1
4180000 3
4190000 33
4200000 18
4210000 2
4230000 2
4250000 1
4260000 5
4280000 2
4290000 1
4310000 4
4350000 72
4360000 3
4390000 4
4400000 1
4430000 1
4440000 1
4460000 4
4470000 1
4490000 1
4510000 1
4520000 2
4530000 1
4540000 1
4550000 5
4560000 3
4570000 2
4580000 2
4590000 1
4600000 2
4610000 4
4620000 2
4630000 2
4660000 1
4670000 1
4690000 3
4700000 1
4710000 3
4720000 2
4740000 1
4750000 1
4770000 1
4780000 1
4790000 3
4800000 1
4810000 4
4820000 1
4830000 1
4840000 4
4850000 4
